"iteration","standardize","CaseIII","EM","Sample","dustin","interaction.coef"
1,TRUE,0.0605561068726921,0.0607040945158477,0.0255894664683114,0.0886877743067565,0.0382119080542342
2,FALSE,0.00410667892937988,0.0041102549219133,0.026443268339799,0.04280630678071,0.0289138377913334
3,TRUE,0.0338468150658018,0.0339298933838604,-0.0400583029074776,0.0416463917523476,0.0683936327177482
4,FALSE,-0.0545280648019769,-0.0544719104060596,0.009041682524488,-0.102769742532777,-0.0215294693226564
5,TRUE,-0.148950137777885,-0.148979852554547,-0.0101970323327384,-0.123140963493545,-0.0752984788331853
6,FALSE,-0.00149488906698181,-0.00114877088615151,-0.0282924800233098,0.00171932052131096,-0.000627961363671928
7,TRUE,0.0294227629115676,0.0298160881112814,-0.0099660408311274,0.0334933168996641,0.0414120887076857
8,FALSE,0.0454026664403989,0.0455940165242044,0.0163238412093798,0.039466691201686,0.0594929492035146
9,TRUE,0.0155771253586003,0.0158112508499499,0.0323850463979816,-0.0434664201811366,0.021917694311296
10,FALSE,-0.00751159931958556,-0.00747903997488308,-0.0857010892952029,-0.09218958473517,-0.0461335301773972
11,TRUE,0.0355962212628955,0.0355508165432413,-0.0607783654569922,0.0667478284608971,0.0134752346016928
12,FALSE,-0.0891090157974274,-0.089180173109157,-0.0742894730618169,-0.0102168666512416,-0.00302349385905874
13,TRUE,0.00201113929204266,0.00198100216923591,0.0421756166384719,0.00436428702799174,-0.00794884861592197
14,FALSE,-0.112025639509504,-0.112052077943252,-0.105766320154504,0.00649841879149249,0.0559987743834733
15,TRUE,0.0323775424401901,0.0325263916930283,0.0651926422640162,-0.00985585394401112,-0.00446469827888566
16,FALSE,0.0482084891817737,0.0485126001137346,0.0377248128616798,-0.0146802368753438,0.0183408041191821
17,TRUE,0.00203211509216361,0.00205499669745546,0.065553355388959,-0.0493429196900829,-0.0260394763723004
18,FALSE,-0.0384788638388773,-0.0384991380058975,-0.0755157975013702,-0.0292870168378748,-0.0279007665085953
19,TRUE,-0.0171483471451925,-0.0168986173217152,-0.0339746234619724,-0.114880207836903,-0.0210304513297008
20,FALSE,0.0484159117057299,0.0486746311245196,0.00857255044670369,-0.0503505821953393,-0.0379469396931736
21,TRUE,-0.110690939657281,-0.110849159160469,-0.0210626984864762,-0.131925368861055,-0.0407766857058952
22,FALSE,-0.0577962221449713,-0.0578040689871535,-0.0597218268550344,-0.0671700867496061,-0.0247400382589938
23,TRUE,0.0258907391482591,0.0260399442313,0.0598679984291126,0.00188120288987237,0.0262600609326384
24,FALSE,0.0710351558474148,0.0711922082487439,0.0403440908755712,-0.0620155884707172,-0.0591341755638512
25,TRUE,-0.0195751492061387,-0.0195723990192558,0.0321354685833375,-0.120643569719522,-0.0676890593002063
26,FALSE,0.0369658204578244,0.0371128209443813,0.00180289894935637,0.00651264085971504,0.0211482754042255
27,TRUE,0.0103386532754597,0.0103124089251502,0.0646012309430821,0.0597959775617362,0.0389411468296898
28,FALSE,0.0583905947201514,0.0586823719097922,-0.0522554909153139,-4.74960380255629e-05,-0.0107165385747633
29,TRUE,-0.0123667235053709,-0.0122272491398047,-0.0514754889765899,0.0503035036317674,0.0280555969580058
30,FALSE,0.0805425840217279,0.0805915965144545,-0.00924123039110158,0.0820043208456267,0.041200978572294
31,TRUE,-0.0323760863944578,-0.0323466732505611,-0.0191112215134509,-0.0402518751938207,-0.00585293799111541
32,FALSE,-0.123123260021338,-0.123444058480302,0.0469063026097865,0.040985140211967,0.0188493794134544
33,TRUE,0.00182350845274026,0.00198533206782348,-0.0319293397296708,-0.0255792249846464,0.0302248232988227
34,FALSE,-0.0643915767508005,-0.0643036203904398,-0.0489241976561959,-0.0270584930714788,-0.0332885286103614
